id,name,account,num_nodes,run_time,submit_time,start_time,end_time,state,ml_priority,avg_node_power,max_node_power,energy
jid_893699,92940.0,168.0,1,43,-5,0,44,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,7590.816326530612
jid_893701,92940.0,168.0,1,36,33,33,70,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,6355.102040816326
jid_893702,92940.0,168.0,1,30,41,41,72,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,5295.918367346939
jid_893706,92940.0,168.0,1,46,54,54,101,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,8120.408163265306
jid_893709,92940.0,168.0,1,73,35,35,109,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,12886.73469387755
jid_893710,92940.0,168.0,1,98,15,15,114,JobState.COMPLETED,0,176.53061224489792,176.53061224489795,17299.999999999996
jid_893711,92940.0,168.0,1,41,85,85,127,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,7237.755102040816
jid_893713,92940.0,168.0,1,45,88,88,134,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,7943.877551020408
jid_893714,92940.0,168.0,1,85,61,61,147,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,15005.102040816326
jid_893715,92940.0,168.0,1,108,41,41,150,JobState.COMPLETED,0,176.53061224489792,176.53061224489795,19065.306122448976
jid_893716,92940.0,168.0,1,38,111,111,150,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,6708.163265306122
jid_893717,92940.0,168.0,1,55,98,98,154,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,9709.183673469388
jid_893718,92940.0,168.0,1,54,116,116,171,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,9532.65306122449
jid_893719,92940.0,168.0,1,45,142,142,188,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,7943.877551020408
jid_893721,92940.0,168.0,1,48,150,150,199,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,8473.469387755102
jid_893722,92940.0,168.0,1,49,166,166,216,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,8650.0
jid_893723,92940.0,168.0,1,52,168,168,221,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,9179.591836734693
jid_893724,92940.0,168.0,1,98,123,123,222,JobState.COMPLETED,0,176.53061224489792,176.53061224489795,17299.999999999996
jid_893738,92940.0,168.0,1,70,165,165,236,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,12357.142857142857
jid_893725,92940.0,168.0,1,58,186,186,245,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,10238.775510204081
jid_893726,92940.0,168.0,1,114,131,131,246,JobState.COMPLETED,0,176.53061224489792,176.53061224489795,20124.48979591836
jid_893727,92940.0,168.0,1,56,202,202,259,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,9885.714285714286
jid_893728,92940.0,168.0,1,98,163,163,262,JobState.COMPLETED,0,176.53061224489792,176.53061224489795,17299.999999999996
jid_893729,92940.0,168.0,1,51,217,217,269,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,9003.061224489795
jid_893730,92940.0,168.0,1,48,235,235,284,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,8473.469387755102
jid_893731,92940.0,168.0,1,49,235,235,285,JobState.COMPLETED,0,176.53061224489795,176.53061224489795,8650.0
